;0
0;https://www.comprecar.com.br/carros-usados/sorocaba/cruze-sedan-18-lt-16v-4p-automatico-1670223
1;https://www.comprecar.com.br/carros-usados/sorocaba/ka-15-se-16v-4p-manual-1670161
2;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-outsider-10-flex-12v-5p-mec-1643762
3;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-flex-intense-manual-1669473
4;https://www.comprecar.com.br/carros-usados/sorocaba/corolla-20-vvt-ie-flex-xei-direct-shift-1671667
5;https://www.comprecar.com.br/carros-usados/ibiuna/kwid-10-12v-sce-zen-1668808
6;https://www.comprecar.com.br/carros-usados/americana/corolla-20-16v-4p-flex-xei-direct-shift-automatico-cvt-1656035
7;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/tiggo-7-pro-16-tgdi-gasolina-dct-1662424
8;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/tiggo-7-pro-16-tgdi-gasolina-dct-1662428
9;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/tiggo-7-pro-16-tgdi-gasolina-dct-1662488
10;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/tiggo-7-pro-16-tgdi-gasolina-dct-1662494
11;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/tiggo-7-pro-16-tgdi-gasolina-dct-1662498
12;https://www.comprecar.com.br/carros-usados/sorocaba/320i-20-turbo-aut-184cv-1667726
13;https://www.comprecar.com.br/carros-usados/indaiatuba/cruze-18-lt-16v-1667061
14;https://www.comprecar.com.br/carros-usados/barueri/ranger-32-storm-4x4-cd-20v-1669334
15;https://www.comprecar.com.br/carros-usados/barueri/ranger-22-black-4x2-cd-16v-1669337
16;https://www.comprecar.com.br/carros-usados/mogi-mirim/tiggo-7-pro-16-tgdi-gasolina-dct-1661064
17;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/duster-16-16v-sce-flex-iconic-x-tronic-1667172
18;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/duster-16-16v-sce-flex-intense-x-tronic-1672493
19;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/sandero-10-12v-sce-flex-s-edition-manual-1662382
20;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/duster-13-tce-flex-iconic-x-tronic-1662386
21;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/sandero-10-12v-sce-flex-s-edition-manual-1662393
22;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/kwid-10-12v-sce-flex-zen-manual-1662398
23;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/sandero-10-12v-sce-flex-s-edition-manual-1667173
24;https://www.comprecar.com.br/carros-usados/mogi-mirim/tiggo-7-pro-16-tgdi-gasolina-dct-1669163
25;https://www.comprecar.com.br/carros-usados/mogi-mirim/tiggo-5x-pro-15-vvt-turbo-iflex-cvt-1670226
26;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/sandero-10-12v-sce-flex-s-edition-manual-1670342
27;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/kwid-10-12v-sce-flex-zen-manual-1667175
28;https://www.comprecar.com.br/carros-usados/sorocaba/compass-13-t270-turbo-sport-1656122
29;https://www.comprecar.com.br/carros-usados/sorocaba/duster-16-16v-sce-iconic-1610359
30;https://www.comprecar.com.br/carros-usados/sorocaba/ranger-22-xls-4x2-cd-16v-1667615
31;https://www.comprecar.com.br/carros-usados/sorocaba/argo-10-firefly-manual-1658932
32;https://www.comprecar.com.br/carros-usados/sorocaba/commander-13-t270-turbo-limited-at6-1658968
33;https://www.comprecar.com.br/carros-usados/sorocaba/duster-16-16v-sce-zen-manual-1659127
34;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-zen-manual-1662768
35;https://www.comprecar.com.br/carros-usados/sorocaba/toro-20-16v-turbo-ranch-4wd-at9-1663442
36;https://www.comprecar.com.br/carros-usados/sorocaba/nivus-hl-tsi-ad-1617356
