;0;1;2;3;4;5;6;7;8
0; KA - 1.5 SE 16V 4P MANUAL ; Malentachi Veículos; Sorocaba; Flex - Álcool e Gasolina; 2017;KM 141.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/ka-15-se-16v-4p-manual-1670161;
1; COMPASS LONGITUDE 2.0 4x4 DIES. 16V AUT ; Mariano Motors; Sorocaba; Diesel; 2018;KM 76.753; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/compass-longitude-20-4x4-dies-16v-aut-1652138;
2; KWID OUTSIDER 1.0 FLEX 12V 5P MEC ; Cardoso Filho Automóveis; Sorocaba; Flex - Álcool e Gasolina; 2023;KM 300; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-outsider-10-flex-12v-5p-mec-1643762;
3; KWID 1.0 12V SCE FLEX INTENSE MANUAL ; Cardoso Filho Automóveis; Sorocaba; Flex - Álcool e Gasolina; 2023;KM 300; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-flex-intense-manual-1669473;
4; COROLLA 2.0 VVT-IE FLEX XEI DIRECT SHIFT ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/corolla-20-vvt-ie-flex-xei-direct-shift-1671667;
5; COROLLA 2.0 VVT-IE FLEX XEI DIRECT SHIFT ; Santa Clara Veículos; Sorocaba; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/corolla-20-vvt-ie-flex-xei-direct-shift-1658703;
6; KWID 1.0 12V SCE ZEN ; Tibério & Estrela Veículos; Ibiúna; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/ibiuna/kwid-10-12v-sce-zen-1668808;
7; Corolla 2.0 16V 4P FLEX XEI DIRECT SHIFT AUTOMÁTICO CVT ; Ayrton Automoveis; Americana; Flex - Álcool e Gasolina; 2023;KM 1; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/americana/corolla-20-16v-4p-flex-xei-direct-shift-automatico-cvt-1656035;
8; SANDERO 1.0 12V SCE FLEX S EDITION MANUAL ; Hazul Renault; São João da Boa Vista; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/sandero-10-12v-sce-flex-s-edition-manual-1662382;
9; DUSTER 1.3 TCE FLEX ICONIC X-TRONIC ; Hazul Renault; São João da Boa Vista; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/duster-13-tce-flex-iconic-x-tronic-1662386;
10; SANDERO 1.0 12V SCE FLEX S EDITION MANUAL ; Hazul Renault; São João da Boa Vista; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/sandero-10-12v-sce-flex-s-edition-manual-1662393;
11; KWID 1.0 12V SCE FLEX ZEN MANUAL ; Hazul Renault; São João da Boa Vista; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/kwid-10-12v-sce-flex-zen-manual-1662398;
12; OROCH 20 DYN42AT ; Mariano Motors; Sorocaba; Gasolina; 2017;KM 57.000; Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/oroch-20-dyn42at-1643327;
13; GOL - 1.0 MI 8V 4P MANUAL G.V ; Malentachi Veículos; Sorocaba; Flex - Álcool e Gasolina; 2008;KM 176.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/gol-10-mi-8v-4p-manual-gv-1645399;
14; DUSTER 1.6 16V SCE FLEX ICONIC X-TRONIC ; Hazul Renault; São João da Boa Vista; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/duster-16-16v-sce-flex-iconic-x-tronic-1667172;
15; SANDERO 1.0 12V SCE FLEX S EDITION MANUAL ; Hazul Renault; São João da Boa Vista; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/sandero-10-12v-sce-flex-s-edition-manual-1667173;
16; KWID 1.0 12V SCE FLEX ZEN MANUAL ; Hazul Renault; São João da Boa Vista; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/kwid-10-12v-sce-flex-zen-manual-1667175;
17; SANDERO 1.0 12V SCE FLEX S EDITION MANUAL ; Hazul Renault; São João da Boa Vista; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/sandero-10-12v-sce-flex-s-edition-manual-1670342;
18; TIGGO 7 PRO 1.6 TGDI GASOLINA DCT ; Xian Caoa Chery; Mogi Mirim; Gasolina; 2023;0 KM; Gasolina;https://www.comprecar.com.br/carros-usados/mogi-mirim/tiggo-7-pro-16-tgdi-gasolina-dct-1661064;
19; TIGGO 7 PRO 1.6 TGDI GASOLINA DCT ; Xian Caoa Chery; Mogi Mirim; Gasolina; 2023;0 KM; Gasolina;https://www.comprecar.com.br/carros-usados/mogi-mirim/tiggo-7-pro-16-tgdi-gasolina-dct-1669163;
20; TIGGO 5X PRO 1.5 VVT TURBO iFLEX CVT ; Xian Caoa Chery; Mogi Mirim; Flex - Álcool e Gasolina; 2023;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/mogi-mirim/tiggo-5x-pro-15-vvt-turbo-iflex-cvt-1670226;
21; TIGGO 7 PRO 1.6 TGDI GASOLINA DCT ; Xian SJBV; São João da Boa Vista; Gasolina; 2023;0 KM; Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/tiggo-7-pro-16-tgdi-gasolina-dct-1662424;
22; TIGGO 7 PRO 1.6 TGDI GASOLINA DCT ; Xian SJBV; São João da Boa Vista; Gasolina; 2023;0 KM; Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/tiggo-7-pro-16-tgdi-gasolina-dct-1662428;
23; TIGGO 7 PRO 1.6 TGDI GASOLINA DCT ; Xian SJBV; São João da Boa Vista; Gasolina; 2023;0 KM; Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/tiggo-7-pro-16-tgdi-gasolina-dct-1662488;
24; TIGGO 7 PRO 1.6 TGDI GASOLINA DCT ; Xian SJBV; São João da Boa Vista; Gasolina; 2023;0 KM; Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/tiggo-7-pro-16-tgdi-gasolina-dct-1662494;
25; TIGGO 7 PRO 1.6 TGDI GASOLINA DCT ; Xian SJBV; São João da Boa Vista; Gasolina; 2023;0 KM; Gasolina;https://www.comprecar.com.br/carros-usados/sao-joao-da-boa-vista/tiggo-7-pro-16-tgdi-gasolina-dct-1662498;
26; RANGER 3.2 Storm 4X4 CD 20V ; Ford Mix Alphaville; Barueri; Diesel; 2023;KM Não informado; Diesel;https://www.comprecar.com.br/carros-usados/barueri/ranger-32-storm-4x4-cd-20v-1669334;
27; RANGER 2.2 Black 4X2 CD 16V ; Ford Mix Alphaville; Barueri; Diesel; 2023;KM Não informado; Diesel;https://www.comprecar.com.br/carros-usados/barueri/ranger-22-black-4x2-cd-16v-1669337;
28; COMPASS 1.3 T270 Turbo Sport ; Vergueiro Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 6.400; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/compass-13-t270-turbo-sport-1656122;
29; DUSTER 1.6 16V SCE Iconic ; Bicudo Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 9.800; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/duster-16-16v-sce-iconic-1610359;
30; RANGER 2.2 XLS 4X2 CD 16V ; Bicudo Motors; Sorocaba; Diesel; 2022;KM 8.000; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/ranger-22-xls-4x2-cd-16v-1667615;
31; ARGO - 1.0 FIREFLY MANUAL ; Marinho Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 1.001; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/argo-10-firefly-manual-1658932;
32; COMMANDER - 1.3 T270 TURBO LIMITED AT6 ; Marinho Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 1.001;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/commander-13-t270-turbo-limited-at6-1658968
33; DUSTER - 1.6 16V SCE ZEN MANUAL ; Marinho Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 18.234; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/duster-16-16v-sce-zen-manual-1659127;
34; KWID - 1.0 12V SCE ZEN MANUAL ; Marinho Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 1.001; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-zen-manual-1662768;
35; TORO - 2.0 16V TURBO RANCH 4WD AT9 ; Marinho Veículos; Sorocaba; Diesel; 2022;KM 1.001; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/toro-20-16v-turbo-ranch-4wd-at9-1663442;
36; SAVEIRO 1.6 Cross CD 16V ; São José Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 19.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/saveiro-16-cross-cd-16v-1661305;
37; NIVUS HL TSI AD ; Cardoso Filho Automóveis; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 300; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/nivus-hl-tsi-ad-1617356;
38; NIVUS HL TSI AD ; Cardoso Filho Automóveis; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 300; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/nivus-hl-tsi-ad-1617497;
39; GOL 1.0L MC4 ; Cardoso Filho Automóveis; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 39.700; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/gol-10l-mc4-1671089;
40; GOL 1.0 12V MPI TOTALFLEX 4P MANUAL ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/gol-10-12v-mpi-totalflex-4p-manual-1624492;
41; HB20 1.0 12V FLEX SENSE MANUAL ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-flex-sense-manual-1624647;
42; HB20 1.0 12V FLEX SENSE MANUAL ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-flex-sense-manual-1624692;
43; HB20 1.0 12V FLEX VISION MANUAL ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-flex-vision-manual-1625901;
44; Hb20 1.6 Comfort 16V Flex 4P Manual ; Espanha Multimarcas 01; Sorocaba; Flex - Álcool e Gasolina; 2014;KM 83.267; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-16-comfort-16v-flex-4p-manual-1650718;
45; S10 - 2.4 MPFI ADVANTAGE 4X2 CD 8V 4P MANUAL ; Malentachi Veículos; Sorocaba; Flex - Álcool e Gasolina; 2009;KM 174.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/s10-24-mpfi-advantage-4x2-cd-8v-4p-manual-1670266;
46; KWID 1.0 12V SCE FLEX OUTSIDER MANUAL ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-flex-outsider-manual-1633560;
47; KWID 1.0 12V SCE FLEX ZEN MANUAL ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-flex-zen-manual-1633562;
48; KWID 1.0 12V SCE FLEX ZEN MANUAL ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-flex-zen-manual-1633563;
49; NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/nivus-10-200-tsi-total-flex-highline-automatico-1634819;
50; ONIX 1.0 TURBO FLEX PLUS LT AUTOMÁTICO ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 9.623; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/onix-10-turbo-flex-plus-lt-automatico-1646427;
51; ARGO 1.0 FIREFLY FLEX DRIVE MANUAL ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/argo-10-firefly-flex-drive-manual-1654576;
52; ONIX 1.0 TURBO FLEX PREMIER AUTOMÁTICO ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/onix-10-turbo-flex-premier-automatico-1663041;
53; TORO 1.8 16V EVO FLEX ENDURANCE AT6 ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/toro-18-16v-evo-flex-endurance-at6-1663309;
54; POLO 1.0 200 TSI HIGHLINE AUTOMÁTICO ; Criscar Motors; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/polo-10-200-tsi-highline-automatico-1664242;
55; STRADA 1.4 Fire Endurance CS ; União Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;0 KM; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/strada-14-fire-endurance-cs-1666877;
56; AMAROK - 2.0 4X4 CD 16V TURBO INTERCOOLER 4P MANUAL ; Malentachi Veículos; Sorocaba; Diesel; 2012;KM 150.000; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/amarok-20-4x4-cd-16v-turbo-intercooler-4p-manual-1670185;
57; UNO - 1.0 FIREFLY ATTRACTIVE 4P MANUAL ; Malentachi Veículos; Sorocaba; Flex - Álcool e Gasolina; 2019;KM 50.000; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/uno-10-firefly-attractive-4p-manual-1670187;
58; COMMANDER 1.3 T270 Turbo Overland ; União Veículos; Sorocaba; Diesel; 2022;0 KM; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/commander-13-t270-turbo-overland-1666878;
59; COMMANDER 2.0 Td380 Turbo Overland ; União Veículos; Sorocaba; Diesel; 2022;0 KM; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/commander-20-td380-turbo-overland-1668950;
60; TORO 2.0 16V Turbo Volcano 4WD AT9 ; Abrão Reze Veículos; Sorocaba; Diesel; 2022;KM 11.082; Diesel;https://www.comprecar.com.br/carros-usados/sorocaba/toro-20-16v-turbo-volcano-4wd-at9-1656300;
61; PULSE 1.0 TURBO 200 FLEX AUDACE CVT ; Abrão Reze Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 500; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/pulse-10-turbo-200-flex-audace-cvt-1657474;
62; HB20 1.0 12V Vision ; Abrão Reze Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 11.055; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-vision-1664445;
63; POLO 1.0 200 TSI Comfortline ; Abrão Reze Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 4.200; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/polo-10-200-tsi-comfortline-1668418;
64; TUCSON 1.6 16V T-gdi GLS Ecoshift ; Abrão Reze Veículos; Sorocaba; Gasolina; 2022;KM 150; Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/tucson-16-16v-t-gdi-gls-ecoshift-1670780;
65; VIRTUS 1.0 200 TSI Comfortline ; Cobel Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 7.450; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/virtus-10-200-tsi-comfortline-1659639;
66; KWID 1.0 12V SCE ZEN ; Cobel Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 29.800; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-zen-1662933;
67; SAVEIRO 1.6 Cross CD 16V ; Cobel Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 14.818; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/saveiro-16-cross-cd-16v-1668285;
68; COROLLA 2.0 Vvt-ie XEI Direct Shift ; Cobel Veículos; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 11.740; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/corolla-20-vvt-ie-xei-direct-shift-1670299;
69; ONIX 1.0 ; Markvel Carros e Motos; Salto; Flex - Álcool e Gasolina; 2022;KM 3.900; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/salto/onix-10-1656193;
70; VIRTUS - 1.0 200 TSI HIGHLINE AUTOMÁTICO ; Auto 7 Class; Sorocaba; Flex - Álcool e Gasolina; 2022;KM 8.534; Flex - Álcool e Gasolina;https://www.comprecar.com.br/carros-usados/sorocaba/virtus-10-200-tsi-highline-automatico-1657009;
